Date;Value
01-01-2008;204.34
01-01-2009;187.84
01-01-2010;310
01-01-2011;290
01-01-2012;360
01-01-2013;385
01-01-2014;240
01-01-2015;170
01-01-2016;205
01-01-2017;250
01-01-2018;265
01-01-2019;140
01-01-2020;250
01-01-2021;790
01-01-2022;800
