Date;Value
01-01-2008;845
01-01-2009;746
01-01-2010;827
01-01-2011;861
01-01-2012;851
01-01-2013;878
01-01-2014;848
01-01-2015;839
01-01-2016;844
01-01-2017;900
01-01-2018;963
01-01-2019;991
01-01-2020;930
01-01-2021;1009
01-01-2022;1050
