Date;Value
01-01-2008;488.10
01-01-2009;494.20
01-01-2010;505.20
01-01-2011;511.40
01-01-2012;518
01-01-2013;523.30
01-01-2014;526.80
01-01-2015;534.10
01-01-2016;547.50
01-01-2017;546.8
01-01-2018;555.80
01-01-2019;560.20
01-01-2020;512.70
01-01-2021;524.30
01-01-2022;548.50
