Date;Value
01-01-2008;4006
01-01-2009;4238
01-01-2010;4472
01-01-2011;4520
01-01-2012;4533
01-01-2013;4597
01-01-2014;4648
01-01-2015;4820
01-01-2016;4554
01-01-2017;4371
01-01-2018;4085
01-01-2019;3745
01-01-2020;3437
01-01-2021;3274
01-01-2022;3198
